,userId,geo,coordinates,timestamp,tweet,source,isretweeted,lang,lat,lon,polarity
800358227846250496,3479438009,,,1479655246112,rt AT_USER el edificio (no okupado) que posee en barcelona la concejal de carmena que defiende a los okupas en madrid… ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800358316627070976,475155414,,,1479655267279,19/11/2016!!!!!!!!!!!!!! 2016?!!!!!!!!!!!!!!!!!!!!!!!!!! URL,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",False,und,null,null,null
800358318203994112,2992865967,,,1479655267655,rt AT_USER las víctimas del franquismo reprochan a carmena que no les reciba URL,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800358343332261888,739200802582081536,,,1479655273646,rt AT_USER manuela carmena se compromete con las personas sin techo de madrid URL a qué? a ofrecerles una cen…,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",True,es,null,null,null
800358351104311296,1381464013,,,1479655275499,rt AT_USER el edificio no okupado de la concejala pro okupa de carmena URL vía AT_USER,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",True,es,null,null,null
800358406326550532,721283885649240064,,,1479655288665,"rt AT_USER en lisboa. en milán. y ahora en vuestra casa, de la cual sois desahuciados para iros a jugar casi a guadalajara. b… ","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800358412139843585,100484482,,,1479655290051,"AT_USER AT_USER ahora lo acabo de ver, el fcb llevaba 30 puntos y el madrid 26.","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",False,es,null,null,null
800358414257786880,1132114898,,,1479655290556,rt AT_USER el edificio (no okupado) que posee en barcelona la concejal de carmena que defiende a los okupas en madrid… ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800358462576201728,3312501238,,,1479655302076,"rt AT_USER carmena clausura las scholas ciudadanía, un proyecto educativo de una fundación impulsada por el papa francisco: URL","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800358525281177604,366520605,,,1479655317026,"rt AT_USER de los creadores de ""el madrid ganaba por franco"" y ""la culpa es del cespet"" llega ahora... URL","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,es,null,null,null
800358616448503808,767790789636263936,,,1479655338762,ahora bolivia sin agua gracias al socialismo liberador ahora tenemos dignidad!!!! marianelapaco ddhh oea onu… URL,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",False,es,null,null,null
800358620047163392,389558632,,,1479655339620,rt AT_USER ¿en qué gasta 8 millones el sobrino de carmena? el siniestro personaje es el dueño de la caja del ayuntamiento. https:…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,es,null,null,null
800358622249172994,1937708048,,,1479655340145,rt AT_USER el edificio (no okupado) que posee en barcelona la concejal de carmena que defiende a los okupas en madrid… ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800358630923104256,2972929654,,,1479655342213,rt AT_USER el 'cara al sol' cierra la misa en honor a franco en madrid. ahora hacer apología de la dictadura franquista lo lla… ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800358652758597633,421051783,,,1479655347419,"carmena agradece a la brigada tuitera por parar la ""sinrazón"" de las tasas judiciales la exjueza ha intervenido a... URL","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",False,es,null,null,null
800358658756509696,527965223,,,1479655348849,rt AT_USER el 'cara al sol' cierra la misa en honor a franco en madrid. ahora hacer apología de la dictadura franquista lo lla… ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800358662900502532,349983729,,,1479655349837,AT_USER queee? le vas al madrid?? 😱 te amo más ahora! 😍❤,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,es,null,null,null
800358665274396672,2828096358,,,1479655350403,rt AT_USER nos masacran con impuestos y multas para que el sobrino de carmena regale 8 millones a diferentes ongs: URL,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800358668306972672,1613128574,,,1479655351126,rt AT_USER el 'cara al sol' cierra la misa en honor a franco en madrid. ahora hacer apología de la dictadura franquista lo lla… ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800358813480132609,700111031,,,1479655385738,"rt AT_USER de los creadores de ""el madrid ganaba por franco"" y ""la culpa es del cespet"" llega ahora... URL","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,es,null,null,null
800358831951900672,466222315,,,1479655390142,"rt AT_USER de los creadores de ""el madrid ganaba por franco"" y ""la culpa es del cespet"" llega ahora... URL","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800358933928050692,2323787295,,,1479655414455,rt AT_USER el edificio (no okupado) que posee en barcelona la concejal de carmena que defiende a los okupas en madrid… ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800358958309380096,199700520,,,1479655420268,AT_USER y ahora empieza otra vez con niños sin casa que ella sabe que no es verdad con una cara muyy dura podemos AT_USER AT_USER,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",False,es,null,null,null
800358967993995264,1458109638,,,1479655422577,ahora bolos nos podemos poner cualquier día,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,es,null,null,null
800359015473618948,2317798867,,,1479655433897,rt AT_USER el 'cara al sol' cierra la misa en honor a franco en madrid. ahora hacer apología de la dictadura franquista lo lla… ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800359072012718080,461216071,,,1479655447377,rt AT_USER el 'cara al sol' cierra la misa en honor a franco en madrid. ahora hacer apología de la dictadura franquista lo lla… ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800359073501696000,4535004915,,,1479655447732,rt AT_USER el edificio (no okupado) que posee en barcelona la concejal de carmena que defiende a los okupas en madrid… ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,es,null,null,null
800359090287316992,305152321,,,1479655451734,rt AT_USER el 'cara al sol' cierra la misa en honor a franco en madrid. ahora hacer apología de la dictadura franquista lo lla… ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800359199234527232,741202408227889153,,,1479655477709,AT_USER AT_USER AT_USER URL,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,und,null,null,null
800359206419361792,32944245,,,1479655479422,"rt AT_USER de los creadores de ""el madrid ganaba por franco"" y ""la culpa es del cespet"" llega ahora... URL","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,es,null,null,null
800359248970612736,1627671379,,,1479655489567,"rt AT_USER de los creadores de ""el madrid ganaba por franco"" y ""la culpa es del cespet"" llega ahora... URL","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800359256117694469,75332065,,,1479655491271,rt AT_USER el edificio (no okupado) que posee en barcelona la concejal de carmena que defiende a los okupas en madrid… ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800359296286519298,833653280,,,1479655500848,rt AT_USER el edificio (no okupado) que posee en barcelona la concejal de carmena que defiende a los okupas en madrid… ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800359364490100736,711275127493758976,,,1479655517109,"rt AT_USER de los creadores de ""el madrid ganaba por franco"" y ""la culpa es del cespet"" llega ahora... URL","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800359437563203584,229951766,,,1479655534531,en navarra hasta hace bien poco también se ensalzaba a este genocida. ahora por fin se pueden hacer manifestaciones… URL,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,es,null,null,null
800359507956264960,2814237892,,,1479655551314,rt AT_USER el 'cara al sol' cierra la misa en honor a franco en madrid. ahora hacer apología de la dictadura franquista lo lla… ,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",True,es,null,null,null
800359528587988992,198265230,,,1479655556233,rt AT_USER las víctimas del franquismo reprochan a carmena que no les reciba URL,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800359557084119041,3035192141,,,1479655563027,rt AT_USER el edificio (no okupado) que posee en barcelona la concejal de carmena que defiende a los okupas en madrid… ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,es,null,null,null
